C,Sigma,Accuracy
1,0.0076,32.67%
1,0.0097,30.00%
1,0.0124,23.33%
1,0.0158,21.33%
1,0.0202,21.33%
1,0.0258,21.33%
1,0.0329,36.67%
1,0.0419,38.00%
1,0.0535,44.00%
1,0.0683,51.33%
1,0.0872,54.00%
1,0.1113,56.67%
1,0.142,60.00%
1,0.1813,62.66%
1,0.2314,66.66%
1,0.2953,68.00%
1,0.3769,68.66%
1,0.481,69.34%
1,0.6139,68.66%
1,0.7835,52.00%
1,1.0,52.67%
1,1.2763,44.00%
1,1.6289,36.67%
1,2.0789,36.67%
1,2.6533,36.67%
1,3.3864,37.33%
1,4.3219,37.33%
1,5.516,38.66%
1,7.04,23.34%
1,8.985,23.34%
1,11.4674,63.34%
1,14.6356,29.34%
1,18.6792,26.67%
1,23.8399,33.33%
1,30.4264,33.33%
1,38.8327,33.33%
1,49.5614,33.33%
1,63.2544,33.33%
1,80.7304,33.33%
1,103.0347,33.33%
5,0.0076,32.67%
5,0.0097,30.00%
5,0.0124,23.33%
5,0.0158,21.33%
5,0.0202,21.33%
5,0.0258,21.33%
5,0.0329,36.67%
5,0.0419,37.34%
5,0.0535,46.00%
5,0.0683,51.33%
5,0.0872,54.00%
5,0.1113,57.34%
5,0.142,60.00%
5,0.1813,64.00%
5,0.2314,68.00%
5,0.2953,68.00%
5,0.3769,69.33%
5,0.481,69.33%
5,0.6139,68.00%
5,0.7835,52.67%
5,1.0,52.67%
5,1.2763,36.67%
5,1.6289,36.00%
5,2.0789,36.00%
5,2.6533,36.00%
5,3.3864,36.00%
5,4.3219,35.34%
5,5.516,36.00%
5,7.04,36.67%
5,8.985,36.67%
5,11.4674,38.67%
5,14.6356,39.34%
5,18.6792,38.66%
5,23.8399,47.34%
5,30.4264,46.67%
5,38.8327,28.66%
5,49.5614,32.00%
5,63.2544,33.33%
5,80.7304,33.33%
5,103.0347,33.33%
10,0.0076,32.67%
10,0.0097,30.00%
10,0.0124,23.33%
10,0.0158,21.33%
10,0.0202,21.33%
10,0.0258,21.33%
10,0.0329,36.67%
10,0.0419,37.34%
10,0.0535,46.00%
10,0.0683,51.33%
10,0.0872,54.00%
10,0.1113,57.34%
10,0.142,60.00%
10,0.1813,64.00%
10,0.2314,68.00%
10,0.2953,68.00%
10,0.3769,69.33%
10,0.481,69.33%
10,0.6139,52.67%
10,0.7835,52.67%
10,1.0,53.34%
10,1.2763,34.67%
10,1.6289,36.00%
10,2.0789,36.67%
10,2.6533,35.33%
10,3.3864,36.00%
10,4.3219,36.00%
10,5.516,34.00%
10,7.04,36.00%
10,8.985,36.00%
10,11.4674,37.33%
10,14.6356,38.00%
10,18.6792,39.34%
10,23.8399,64.66%
10,30.4264,38.67%
10,38.8327,46.66%
10,49.5614,28.00%
10,63.2544,27.33%
10,80.7304,33.33%
10,103.0347,33.33%
50,0.0076,32.67%
50,0.0097,30.00%
50,0.0124,23.33%
50,0.0158,21.33%
50,0.0202,21.33%
50,0.0258,21.33%
50,0.0329,36.67%
50,0.0419,37.34%
50,0.0535,46.00%
50,0.0683,51.33%
50,0.0872,54.00%
50,0.1113,57.34%
50,0.142,60.00%
50,0.1813,64.00%
50,0.2314,68.00%
50,0.2953,68.00%
50,0.3769,69.33%
50,0.481,68.66%
50,0.6139,69.33%
50,0.7835,56.00%
50,1.0,45.34%
50,1.2763,35.34%
50,1.6289,38.67%
50,2.0789,38.67%
50,2.6533,34.00%
50,3.3864,34.00%
50,4.3219,36.00%
50,5.516,35.33%
50,7.04,35.33%
50,8.985,35.33%
50,11.4674,36.00%
50,14.6356,35.34%
50,18.6792,36.67%
50,23.8399,37.33%
50,30.4264,37.33%
50,38.8327,40.00%
50,49.5614,40.00%
50,63.2544,36.67%
50,80.7304,63.34%
50,103.0347,30.66%
100,0.0076,32.67%
100,0.0097,30.00%
100,0.0124,23.33%
100,0.0158,21.33%
100,0.0202,21.33%
100,0.0258,21.33%
100,0.0329,36.67%
100,0.0419,37.34%
100,0.0535,46.00%
100,0.0683,51.33%
100,0.0872,54.00%
100,0.1113,57.34%
100,0.142,60.00%
100,0.1813,64.00%
100,0.2314,68.00%
100,0.2953,68.00%
100,0.3769,69.33%
100,0.481,68.66%
100,0.6139,68.66%
100,0.7835,69.33%
100,1.0,48.00%
100,1.2763,35.34%
100,1.6289,35.34%
100,2.0789,36.00%
100,2.6533,36.67%
100,3.3864,34.00%
100,4.3219,34.00%
100,5.516,33.33%
100,7.04,35.33%
100,8.985,35.33%
100,11.4674,35.33%
100,14.6356,36.00%
100,18.6792,34.67%
100,23.8399,37.33%
100,30.4264,36.67%
100,38.8327,36.00%
100,49.5614,38.00%
100,63.2544,39.34%
100,80.7304,39.33%
100,103.0347,42.00%
500,0.0076,32.67%
500,0.0097,30.00%
500,0.0124,23.33%
500,0.0158,21.33%
500,0.0202,21.33%
500,0.0258,21.33%
500,0.0329,36.67%
500,0.0419,37.34%
500,0.0535,46.00%
500,0.0683,51.33%
500,0.0872,54.00%
500,0.1113,57.34%
500,0.142,60.00%
500,0.1813,64.00%
500,0.2314,68.00%
500,0.2953,68.00%
500,0.3769,69.33%
500,0.481,68.66%
500,0.6139,68.66%
500,0.7835,69.33%
500,1.0,64.66%
500,1.2763,52.00%
500,1.6289,36.67%
500,2.0789,36.67%
500,2.6533,36.67%
500,3.3864,36.00%
500,4.3219,35.33%
500,5.516,34.66%
500,7.04,33.33%
500,8.985,33.33%
500,11.4674,33.33%
500,14.6356,35.33%
500,18.6792,35.33%
500,23.8399,34.66%
500,30.4264,36.00%
500,38.8327,34.00%
500,49.5614,36.00%
500,63.2544,36.00%
500,80.7304,37.33%
500,103.0347,37.33%
1000,0.0076,32.67%
1000,0.0097,30.00%
1000,0.0124,23.33%
1000,0.0158,21.33%
1000,0.0202,21.33%
1000,0.0258,21.33%
1000,0.0329,36.67%
1000,0.0419,37.34%
1000,0.0535,46.00%
1000,0.0683,51.33%
1000,0.0872,54.00%
1000,0.1113,57.34%
1000,0.142,60.00%
1000,0.1813,64.00%
1000,0.2314,68.00%
1000,0.2953,68.00%
1000,0.3769,69.33%
1000,0.481,68.66%
1000,0.6139,68.66%
1000,0.7835,69.33%
1000,1.0,64.66%
1000,1.2763,52.00%
1000,1.6289,37.33%
1000,2.0789,37.33%
1000,2.6533,36.67%
1000,3.3864,36.67%
1000,4.3219,36.67%
1000,5.516,35.33%
1000,7.04,35.33%
1000,8.985,34.00%
1000,11.4674,33.33%
1000,14.6356,33.33%
1000,18.6792,33.33%
1000,23.8399,35.33%
1000,30.4264,35.33%
1000,38.8327,35.33%
1000,49.5614,36.00%
1000,63.2544,34.67%
1000,80.7304,36.00%
1000,103.0347,36.67%
